pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7sue	F	E	0	J	protein	NA	nucleoprotein	VIRAL PROTEIN	08/10/22	Crystal Structure of Human Fab S24-188 in the complex with the N-teminal Domain of Nucleocapsid protein from SARS CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kim, Y., Maltseva, N., Tesar, C., Jedrzejczak, R., Dugan, H., Stamper, C., Wilson, P., Joachimiak, A., Center for Structural Genomics of Infectious Diseases (CSGID)	2.9	X-RAY DIFFRACTION	0.292	0.262	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7sue	I	G	0	K	protein	NA	nucleoprotein	VIRAL PROTEIN	08/10/22	Crystal Structure of Human Fab S24-188 in the complex with the N-teminal Domain of Nucleocapsid protein from SARS CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kim, Y., Maltseva, N., Tesar, C., Jedrzejczak, R., Dugan, H., Stamper, C., Wilson, P., Joachimiak, A., Center for Structural Genomics of Infectious Diseases (CSGID)	2.9	X-RAY DIFFRACTION	0.292	0.262	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7sue	B	A	0	D	protein	NA	nucleoprotein	VIRAL PROTEIN	08/10/22	Crystal Structure of Human Fab S24-188 in the complex with the N-teminal Domain of Nucleocapsid protein from SARS CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kim, Y., Maltseva, N., Tesar, C., Jedrzejczak, R., Dugan, H., Stamper, C., Wilson, P., Joachimiak, A., Center for Structural Genomics of Infectious Diseases (CSGID)	2.9	X-RAY DIFFRACTION	0.292	0.262	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7sue	H	L	0	C	protein	NA	nucleoprotein	VIRAL PROTEIN	08/10/22	Crystal Structure of Human Fab S24-188 in the complex with the N-teminal Domain of Nucleocapsid protein from SARS CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kim, Y., Maltseva, N., Tesar, C., Jedrzejczak, R., Dugan, H., Stamper, C., Wilson, P., Joachimiak, A., Center for Structural Genomics of Infectious Diseases (CSGID)	2.9	X-RAY DIFFRACTION	0.292	0.262	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
1mhp	H	L	0	A	protein	NA	integrin alpha 1, (residues 169-360)	IMMUNE SYSTEM	08/20/02	Crystal structure of a chimeric alpha1 integrin I-domain in complex with the Fab fragment of a humanized neutralizing antibody	RATTUS NORVEGICUS; MUS MUSCULUS	mus musculus	mus musculus	rattus norvegicus	Karpusas, M., Taylor, F., Ferrant, J., Weinreb, P., Garber, E.	2.8	X-RAY DIFFRACTION	0.272	0.213	False	True	IGHV3	IGKV1D	Kappa	None	None	None	None	None
1mhp	X	Y	0	B	protein	NA	integrin alpha 1, (residues 169-360)	IMMUNE SYSTEM	08/20/02	Crystal structure of a chimeric alpha1 integrin I-domain in complex with the Fab fragment of a humanized neutralizing antibody	RATTUS NORVEGICUS; MUS MUSCULUS	mus musculus	mus musculus	rattus norvegicus	Karpusas, M., Taylor, F., Ferrant, J., Weinreb, P., Garber, E.	2.8	X-RAY DIFFRACTION	0.272	0.213	False	True	IGHV3	IGKV1D	Kappa	None	None	None	None	None
5js9	E	F	0	C | D	protein | protein	NA | NA	gp120 | gp41	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/16	Uncleaved prefusion optimized gp140 trimer with an engineered 8-residue HR1 turn bound to broadly neutralizing antibodies 8ANC195 and PGT128	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Kong, L., Wilson, I.A.	6.918	X-RAY DIFFRACTION	0.322	0.284	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
5js9	A	B	0	C	protein	NA	gp120	VIRAL PROTEIN/IMMUNE SYSTEM	07/13/16	Uncleaved prefusion optimized gp140 trimer with an engineered 8-residue HR1 turn bound to broadly neutralizing antibodies 8ANC195 and PGT128	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kong, L., Wilson, I.A.	6.918	X-RAY DIFFRACTION	0.322	0.284	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
7su1	H	L	0	C	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	03/02/22	Crystal structure of an acidic pH-selective Ipilimumab variant Ipi.106 in complex with CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lee, P.S., Chau, B., Strop, P.	2.53	X-RAY DIFFRACTION	0.251	0.206	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7su0	I	M	0	D	protein	NA	cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	03/02/22	Crystal structure of an acidic pH-selective Ipilimumab variant Ipi.105 in complex with CTLA-4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lee, P.S., Chau, B., Strop, P.	2.41	X-RAY DIFFRACTION	0.264	0.206	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
